Date,Open,High,Low,Close
2020-05-06,10716.509766,10773.860352,10598.900391,10606.200195
2020-05-07,10640.769531,10761.860352,10617.230469,10759.269531
2020-05-08,10882.440430,10918.320313,10819.070313,10904.480469
2020-05-11,10948.240234,10986.219727,10740.820313,10824.990234
2020-05-12,10777.740234,10886.009766,10772.580078,10819.500000
2020-05-13,10669.990234,10698.129883,10530.320313,10542.660156
2020-05-14,10418.040039,10474.080078,10160.889648,10337.019531
2020-05-15,10470.849609,10547.190430,10382.540039,10465.169922
2020-05-18,10683.860352,11089.500000,10677.519531,11058.870117
2020-05-19,11200.919922,11201.179688,10936.070313,11075.290039
2020-05-20,11029.330078,11246.910156,10978.570313,11223.709961
2020-05-21,11088.120117,11194.919922,11036.910156,11065.929688
2020-05-22,10896.280273,11138.150391,10867.169922,11073.870117
2020-05-25,11186.040039,11391.280273,11118.120117,11391.280273
2020-05-26,11488.990234,11544.349609,11429.879883,11504.650391
2020-05-27,11530.200195,11747.200195,11519.769531,11657.690430
2020-05-28,11746.780273,11813.139648,11654.830078,11781.129883
2020-05-29,11649.370117,11729.980469,11575.740234,11586.849609
2020-06-02,11896.700195,12055.570313,11850.339844,12021.280273
2020-06-03,12147.120117,12507.410156,12133.700195,12487.360352
2020-06-04,12390.030273,12558.240234,12326.440430,12430.559570
2020-06-05,12565.160156,12858.790039,12560.190430,12847.679688
2020-06-08,12722.679688,12913.129883,12670.950195,12819.589844
2020-06-09,12859.830078,12864.910156,12502.450195,12617.990234
2020-06-10,12719.150391,12763.889648,12471.059570,12530.160156
2020-06-11,12223.419922,12301.950195,11970.290039,11970.290039
2020-06-12,11876.339844,12172.629883,11828.660156,11949.280273
2020-06-15,11661.360352,11968.059570,11597.820313,11911.349609
2020-06-16,12168.370117,12434.269531,12132.799805,12315.660156
2020-06-17,12312.440430,12432.230469,12288.169922,12382.139648
2020-06-18,12347.490234,12483.839844,12189.669922,12281.530273
2020-06-19,12375.179688,12447.150391,12319.190430,12330.759766
2020-06-22,12194.480469,12331.139648,12172.120117,12317.929688
